task-planner  | 2026-02-27T15:04:20.633199118Z INFO:     Started server process [1]
task-planner  | 2026-02-27T15:04:20.633232420Z INFO:     Waiting for application startup.
task-planner  | 2026-02-27T15:04:20.633236341Z INFO:     Application startup complete.
task-planner  | 2026-02-27T15:04:20.633621807Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
task-planner  | 2026-02-27T15:04:22.775637784Z INFO:task-planner:planner.request {'bytes': 18360, 'goal_len': 826, 'task_history_n': 0, 'ocr_results_n': 0, 'ui_elements_n': 0, 'available_actions_n': 12, 'has_screenshot': True, 'screenshot_b64_len': 17220, 'screenshot_mime': 'image/jpeg', 'client_ip': '172.20.0.5'}
task-planner  | 2026-02-27T15:04:22.777186815Z INFO:task-planner:planner.llm_call {'multimodal': True, 'model': 'qwen3.5'}
task-planner  | 2026-02-27T15:04:32.944486646Z INFO:httpx:HTTP Request: POST http://host.docker.internal:1234/v1/chat/completions "HTTP/1.1 200 OK"
task-planner  | 2026-02-27T15:04:32.951397348Z INFO:task-planner:planner.llm_done {'multimodal': True, 'model': 'qwen3.5', 'elapsed_ms': 10174, 'out_chars': 572}
task-planner  | 2026-02-27T15:04:32.951419589Z INFO:task-planner:planner.decision {'action': 'open_url', 'parameters': {'url': 'https://www.gmail.com'}, 'completed': False, 'reasoning_trunc': 'GOAL requires opening Firefox and navigating to gmail.com first. Current screen is black with no OCR, so I need to start by opening the browser URL.', 'has_screenshot': True, 'ocr_results_n': 0, 'ui_elements_n': 0, 'available_actions_n': 12}
task-planner  | 2026-02-27T15:04:32.951918422Z INFO:     172.20.0.5:59480 - "POST /v1/actions/next HTTP/1.1" 200 OK
task-planner  | 2026-02-27T15:04:33.963639371Z INFO:task-planner:planner.request {'bytes': 43606, 'goal_len': 826, 'task_history_n': 1, 'ocr_results_n': 16, 'ui_elements_n': 16, 'available_actions_n': 12, 'has_screenshot': True, 'screenshot_b64_len': 39972, 'screenshot_mime': 'image/jpeg', 'client_ip': '172.20.0.5'}
task-planner  | 2026-02-27T15:04:33.965040528Z INFO:task-planner:planner.llm_call {'multimodal': True, 'model': 'qwen3.5'}
task-planner  | 2026-02-27T15:04:48.260910135Z INFO:httpx:HTTP Request: POST http://host.docker.internal:1234/v1/chat/completions "HTTP/1.1 200 OK"
task-planner  | 2026-02-27T15:04:48.261530813Z INFO:task-planner:planner.llm_done {'multimodal': True, 'model': 'qwen3.5', 'elapsed_ms': 14296, 'out_chars': 692}
task-planner  | 2026-02-27T15:04:48.261620914Z INFO:task-planner:planner.decision {'action': 'wait_any_text', 'parameters': {'patterns': ['Sign in|Log in|Inbox|Compose|@gmail.com'], 'timeout_s': 10}, 'completed': False, 'reasoning_trunc': "GOAL requires navigating to Gmail and logging in. The page is currently loading (blank/white screen with minimal OCR). Need to wait for login elements like 'Sign in' or inbox content to appear before proceeding.", 'has_screenshot': True, 'ocr_results_n': 16, 'ui_elements_n': 16, 'available_actions_n': 12}
task-planner  | 2026-02-27T15:04:48.262065677Z INFO:     172.20.0.5:59480 - "POST /v1/actions/next HTTP/1.1" 200 OK
task-planner  | 2026-02-27T15:04:51.629818093Z INFO:task-planner:planner.request {'bytes': 135854, 'goal_len': 826, 'task_history_n': 2, 'ocr_results_n': 78, 'ui_elements_n': 78, 'available_actions_n': 12, 'has_screenshot': True, 'screenshot_b64_len': 119540, 'screenshot_mime': 'image/jpeg', 'client_ip': '172.20.0.5'}
task-planner  | 2026-02-27T15:04:51.631334726Z INFO:task-planner:planner.llm_call {'multimodal': True, 'model': 'qwen3.5'}
task-planner  | 2026-02-27T15:05:10.974229478Z INFO:httpx:HTTP Request: POST http://host.docker.internal:1234/v1/chat/completions "HTTP/1.1 200 OK"
task-planner  | 2026-02-27T15:05:10.974876086Z INFO:task-planner:planner.llm_done {'multimodal': True, 'model': 'qwen3.5', 'elapsed_ms': 19343, 'out_chars': 755}
task-planner  | 2026-02-27T15:05:10.975196239Z INFO:task-planner:planner.decision {'action': 'click_text', 'parameters': {'regex': '^Compose$', 'prefer_bold': True}, 'completed': False, 'reasoning_trunc': "GOAL requires sending 5 emails starting with composing new messages. Current OCR shows Gmail inbox is loaded and logged in as 'andrew.theiss@gmail.com'. The Compose button is clearly visible at [39, 260, 87, 281] in the sidebar. I'll click it to start the first email composition.", 'has_screenshot': True, 'ocr_results_n': 78, 'ui_elements_n': 78, 'available_actions_n': 12}
task-planner  | 2026-02-27T15:05:10.975387294Z INFO:     172.20.0.5:59480 - "POST /v1/actions/next HTTP/1.1" 200 OK
